Query,Non-Grep Time,Grep Time
deep learning,0.000183477,0.074344299
artificial intelligence,6.18E-05,0.029476679
information retrieval,0.000159252,0.176850776
machine learning,0.000154192,0.083644471
question answering,6.39E-05,0.064826229
noun phrases,5.26E-05,0.033851017
penn treebank,4.75E-05,0.021505133
speech recognition,0.00010033,0.059795822
data mining,0.000177908,0.273050264
computer vision,8.93E-05,0.088555036
reinforcement learning,0.000108028,0.031267968
natural language,0.00014556,0.092417298
autoencoder,3.49E-05,0.009334353
ontology,2.41E-05,0.007066162
sentiment analysis,0.000137775,0.03194099
sap,2.49E-05,0.010337599
lstm,2.31E-05,0.00853887
natural language processing,0.000143331,0.108906995
semantic web,0.000166542,0.088412574
mooc,2.36E-05,0.010144498
human computer interaction,0.000127733,0.115752558
eye movement clustering,6.89E-05,0.051858677
semantic relations,6.86E-05,0.07767778
efficient estimation of word representations in vector space,0.001177075,0.226480003
big data,0.000149046,0.057558611
audio visual fusion,8.46E-05,0.046869138
object detection,0.000120915,0.108291928
gfdm,2.32E-05,0.008542506
neural network,0.000133392,0.103607343
generalized extreme value,8.71E-05,0.042271402
information geometry,0.000104482,0.179225559
image panorama video,0.00010355,0.113313379
data science,0.00012133,0.278272184
semantic parsing,6.91E-05,0.070767498
augmented reality,5.91E-05,0.026902936
imbalanced data,0.000114044,0.036822981
recommender system,0.000139163,0.029916129
inverse reinforcement learning mixture,0.000117037,0.047056293
transfer learning,0.000104655,0.037281787
cnn,2.44E-05,0.013722693
dynamic programming segmentation,0.000104217,0.109063992
natural language interface,0.000105558,0.100603497
genetic algorithm,0.000104474,0.038788725
prolog,2.35E-05,0.007255107
contact prediction,6.04E-05,0.033396395
wifi malware,4.19E-05,0.024786994
nsdi machine learning,2.21E-05,0.011411267
forensics and machine learning,0.000562069,0.061121764
words to speech,0.000538988,0.088794704
information theory,0.000140639,0.183379739
morphology morphological,4.76E-05,0.020938489
category theory,6.53E-05,0.02728745
graph theory,0.000101029,0.117200906
smart thermostat,4.63E-05,0.033395611
exploit vulnerability,5.14E-05,0.061789379
reinforcement learning and video game,0.000388299,0.095595068
system health management,0.000138048,0.262517517
spatial multi agent systems,6.62E-05,0.096191933
service composition,6.51E-05,0.069954402
mobile payment,6.93E-05,0.056916587
3 axis gantry,6.39E-05,0.844754558
softmax categorization,4.50E-05,0.04069431
cost aggregation,6.46E-05,0.074470631
chinese dialect,5.01E-05,0.020755837
depth camera,5.56E-05,0.041312569
mobile tcp traffic analysis,0.000126186,0.073566747
collective learning,9.91E-05,0.032521281
robust production planning,9.08E-05,0.083394791
memory hierarchy,6.89E-05,0.052517255
hashing,3.60E-05,0.008656487
comparable corpora,6.10E-05,0.038317619
knowledge graph,0.00010385,0.107972237
social media,9.92E-05,0.075006769
deep learning surveillance,0.000114389,0.073277224
cryptography,2.41E-05,0.006344218
parametric max flow,5.85E-05,0.039193206
deep reinforcement learning,0.000122713,0.070251533
varying weight grasp,5.66E-05,0.042134148
dirichlet process,7.87E-05,0.029443134
word embedding,8.52E-05,0.09520452
graph drawing,7.19E-05,0.12829751
robust principal component analysis,0.000158504,0.10948818
differential evolution,6.93E-05,0.032618556
seq2seq,2.52E-05,0.003765554
document logical structure,0.000113996,0.083963568
duality,2.37E-05,0.007688259
variable neighborhood search,0.000105881,0.060260169
urban public transportation systems,0.000132699,0.065732607
edx coursera,5.92E-05,0.005848714
fdir,2.49E-05,0.011367444
cryptography key management,9.85E-05,0.034409521
ontology construction,7.70E-05,0.032533241
go game,4.93E-05,0.315080744
personality trait,4.95E-05,0.03012473
sparse learning,0.000113179,0.051265606
directed hypergraph,4.75E-05,0.03251469
inventory management,9.18E-05,0.031109878
clojure,4.44E-05,0.013586923
ontology semantic web,0.000134959,0.054234834
convolutional neural network time series,0.000215868,0.072709576
,,
TOTAL,0.01087382,7.503237322
AVERAGE,0.000108738,0.075032373
MIN,2.2056E-05,0.003765554
MAX,0.001177075,0.844754558
