Query,Permuterm,Trie
l*ng,0.002349641,0.027953612
in*e,0.006932009,0.044048011
ret*val,0.000286584,0.001141495
mac*,0.00175833,0.438443873
*nswering,0.000172393,0.320846082
*ses,0.004055832,0.324650992
tree*,0.000770071,0.430481598
sp*h,0.000292845,0.007494341
m*g,0.004316828,0.03900688
v*n,0.001332634,0.022097075
rein*,0.000481064,0.402939278
lan*ge,0.00042705,0.002485307
auto*,0.002361518,0.4400495
on*y,0.000847217,0.019855787
senti*,0.00054254,0.417899167
s*p,0.000906921,0.031512376
l*m,0.00085843,0.013897755
nat*l,0.000409537,0.01439655
we*,0.007690947,0.415865777
mo*c,0.000480469,0.015392069
com*er,0.000452156,0.009078242
cl*g,0.000518573,0.023213967
s*ic,0.00320952,0.032531448
re*s,0.005449757,0.049600916
*ata,0.001730935,0.315090621
f*sion,0.000156759,0.010195249
o*ject,0.000243351,0.008336386
g*dm,4.43E-05,0.006831329
n*ural,0.000596496,0.011285357
e*treme,6.81E-05,0.011530731
,,
TOTAL,0.049742782,3.908151771
AVERAGE,0.001658093,0.130271726
MIN,4.4285E-05,0.001141495
MAX,0.007690947,0.4400495
